2021-06-05 20:02:03 start train.
2021-06-06 14:45:12 EPOCH 60 ,g_loss:1096.110107421875 d_loss:-1.1254712343215942 p_loss:0.007831346243619919 gp_loss:0.0933002382516861 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 15:03:54 EPOCH 61 ,g_loss:1074.6458740234375 d_loss:-1.106128454208374 p_loss:0.00791874062269926 gp_loss:0.09020811319351196 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 15:22:19 EPOCH 62 ,g_loss:961.30908203125 d_loss:-1.1254042387008667 p_loss:0.007752441335469484 gp_loss:0.09251705557107925 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 15:40:44 EPOCH 63 ,g_loss:835.2293090820312 d_loss:-1.0981682538986206 p_loss:0.00801012758165598 gp_loss:0.09099369496107101 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 15:59:10 EPOCH 64 ,g_loss:792.2880859375 d_loss:-1.0709781646728516 p_loss:0.007955771870911121 gp_loss:0.08979544788599014 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 16:17:36 EPOCH 65 ,g_loss:809.9332885742188 d_loss:-1.0693931579589844 p_loss:0.008073197677731514 gp_loss:0.0901259034872055 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 16:36:18 EPOCH 66 ,g_loss:863.664306640625 d_loss:-1.0378998517990112 p_loss:0.0078987255692482 gp_loss:0.08727099001407623 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 16:54:40 EPOCH 67 ,g_loss:823.3652954101562 d_loss:-1.0597389936447144 p_loss:0.007887003943324089 gp_loss:0.09031664580106735 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 17:12:58 EPOCH 68 ,g_loss:838.5803833007812 d_loss:-1.0434558391571045 p_loss:0.007819358259439468 gp_loss:0.08431936800479889 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 17:31:17 EPOCH 69 ,g_loss:823.8501586914062 d_loss:-1.0161395072937012 p_loss:0.007704724092036486 gp_loss:0.08437797427177429 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
